|items|support
1|{item_3}|0.28112
2|{item_22}|0.28167
3|{item_5}|0.28244
4|{item_29}|0.28302
5|{item_7}|0.28304
6|{item_2}|0.28326
7|{item_35}|0.23772
8|{item_9}|0.23791
9|{item_42}|0.23796
10|{item_1}|0.23802
11|{item_39}|0.2383
12|{item_3,item_22}|0.24151
13|{item_3,item_5}|0.24173
14|{item_5,item_22}|0.24201
15|{item_7,item_29}|0.24306
16|{item_2,item_29}|0.24266
17|{item_2,item_7}|0.24328
18|{item_9,item_35}|0.20152
19|{item_35,item_42}|0.20231
20|{item_1,item_35}|0.20245
21|{item_35,item_39}|0.20247
22|{item_9,item_42}|0.20183
23|{item_1,item_9}|0.20224
24|{item_9,item_39}|0.20228
25|{item_1,item_42}|0.20287
26|{item_39,item_42}|0.20288
27|{item_1,item_39}|0.20281
28|{item_3,item_5,item_22}|0.2167
29|{item_2,item_7,item_29}|0.21767
30|{item_9,item_35,item_42}|0.18099
31|{item_1,item_9,item_35}|0.18108
32|{item_9,item_35,item_39}|0.18138
33|{item_1,item_35,item_42}|0.18179
34|{item_35,item_39,item_42}|0.18207
35|{item_1,item_35,item_39}|0.18186
36|{item_1,item_9,item_42}|0.18163
37|{item_9,item_39,item_42}|0.18173
38|{item_1,item_9,item_39}|0.18177
39|{item_1,item_39,item_42}|0.18235
40|{item_1,item_9,item_35,item_42}|0.16293
41|{item_9,item_35,item_39,item_42}|0.16332
42|{item_1,item_9,item_35,item_39}|0.16314
43|{item_1,item_35,item_39,item_42}|0.16374
44|{item_1,item_9,item_39,item_42}|0.16374
45|{item_1,item_9,item_35,item_39,item_42}|0.14692
