"Verbal","Math","GPA","Verbal^2","Math^2","Verbal*Math"
81,87,3.49,6561,7569,7047
68,99,2.89,4624,9801,6732
57,86,2.73,3249,7396,4902
100,49,1.54,10000,2401,4900
54,83,2.56,2916,6889,4482
82,86,3.43,6724,7396,7052
75,74,3.59,5625,5476,5550
58,98,2.86,3364,9604,5684
55,54,1.46,3025,2916,2970
49,81,2.11,2401,6561,3969
64,76,2.69,4096,5776,4864
66,59,2.16,4356,3481,3894
80,61,2.6,6400,3721,4880
100,85,3.3,10000,7225,8500
83,76,3.75,6889,5776,6308
64,66,2.7,4096,4356,4224
83,72,3.15,6889,5184,5976
93,54,2.28,8649,2916,5022
74,59,2.92,5476,3481,4366
51,75,2.48,2601,5625,3825
79,75,3.45,6241,5625,5925
81,62,2.76,6561,3844,5022
50,69,1.9,2500,4761,3450
72,70,3.01,5184,4900,5040
54,52,1.48,2916,2704,2808
65,79,2.98,4225,6241,5135
56,78,2.58,3136,6084,4368
98,67,2.73,9604,4489,6566
97,80,3.27,9409,6400,7760
77,90,3.47,5929,8100,6930
49,54,1.3,2401,2916,2646
39,81,1.22,1521,6561,3159
87,69,3.23,7569,4761,6003
70,95,3.82,4900,9025,6650
57,89,2.93,3249,7921,5073
74,67,2.83,5476,4489,4958
87,93,3.84,7569,8649,8091
90,65,3.01,8100,4225,5850
81,76,3.33,6561,5776,6156
84,69,3.06,7056,4761,5796
