,Monthly Return Rate*,,,*Calculated based on close price adjusted for dividends and splits.
Date,S&P 500,IBM,Apple,
9/3/2013,3.95%,4.22%,0.39%,
8/1/2013,-3.13%,-6.08%,8.38%,
7/1/2013,4.95%,2.06%,14.12%,
6/3/2013,-1.50%,-8.13%,-11.83%,
5/1/2013,2.08%,3.19%,2.24%,
4/1/2013,1.81%,-5.05%,0.03%,
3/1/2013,3.60%,6.21%,0.28%,
2/1/2013,1.11%,-0.68%,-2.53%,
1/2/2013,5.04%,6.01%,-14.41%,
12/3/2012,0.71%,0.78%,-9.07%,
11/1/2012,0.28%,-1.87%,-1.24%,
10/1/2012,-1.98%,-6.22%,-10.76%,
9/4/2012,2.42%,6.47%,0.28%,
8/1/2012,1.98%,-0.15%,9.39%,
7/2/2012,1.26%,0.20%,4.58%,
6/1/2012,3.96%,1.39%,1.09%,
5/1/2012,-6.27%,-6.46%,-1.07%,
4/2/2012,-0.75%,-0.75%,-2.60%,
3/1/2012,3.13%,6.06%,10.53%,
2/1/2012,4.06%,2.54%,18.83%,
1/3/2012,4.36%,4.74%,12.71%,
12/1/2011,0.85%,-2.19%,5.96%,
11/1/2011,-0.51%,2.23%,-5.58%,
10/3/2011,10.77%,5.58%,6.15%,
9/1/2011,-7.18%,1.72%,-0.91%,
8/1/2011,-5.68%,-5.05%,-1.45%,
7/1/2011,-2.15%,6.01%,16.33%,
6/1/2011,-1.83%,1.55%,-3.49%,
5/2/2011,-1.35%,-0.53%,-0.66%,
4/1/2011,2.85%,4.60%,0.47%,
3/1/2011,-0.10%,0.74%,-1.33%,
2/1/2011,3.20%,0.32%,4.09%,
1/3/2011,2.26%,10.38%,5.20%,
12/1/2010,6.53%,3.75%,3.67%,
11/1/2010,-0.23%,-1.06%,3.38%,
10/1/2010,3.69%,7.06%,6.07%,
9/1/2010,8.76%,8.94%,16.72%,
8/2/2010,-4.74%,-3.63%,-5.50%,
7/1/2010,6.88%,3.99%,2.27%,
6/1/2010,-5.39%,-1.42%,-2.08%,
5/3/2010,-8.20%,-2.41%,-1.61%,
4/1/2010,1.48%,0.59%,11.10%,
3/1/2010,5.88%,0.85%,14.85%,
2/1/2010,2.85%,4.37%,6.54%,
1/4/2010,-3.70%,-6.51%,-8.86%,
12/1/2009,1.78%,3.60%,5.42%,
11/2/2009,5.74%,5.23%,6.05%,
10/1/2009,-1.98%,0.83%,1.70%,
9/1/2009,3.57%,1.32%,10.19%,
8/3/2009,3.36%,0.58%,2.95%,
7/1/2009,7.41%,12.93%,14.72%,
6/1/2009,0.02%,-1.75%,4.88%,
5/1/2009,5.31%,3.51%,7.93%,
4/1/2009,9.39%,6.52%,19.71%,
3/2/2009,8.54%,5.29%,17.70%,
2/2/2009,-10.99%,0.96%,-0.91%,
1/2/2009,-8.57%,8.90%,5.60%,
12/1/2008,0.78%,3.14%,-7.90%,
11/3/2008,-7.48%,-11.74%,-13.87%,
10/1/2008,-16.94%,-20.51%,-5.34%,
9/2/2008,-9.08%,-3.92%,-32.96%,
8/1/2008,1.22%,-4.51%,6.66%,
7/1/2008,-0.99%,7.97%,-5.07%,
6/2/2008,-8.60%,-8.42%,-11.29%,
5/1/2008,1.07%,7.67%,8.51%,
4/1/2008,4.75%,4.83%,21.22%,
3/3/2008,-0.60%,1.13%,14.78%,
2/1/2008,-3.48%,6.71%,-7.63%,
1/2/2008,-6.12%,-0.91%,-31.67%,
12/3/2007,-0.86%,2.77%,8.70%,
11/1/2007,-4.40%,-9.10%,-4.07%,
10/1/2007,1.48%,-1.43%,23.77%,
9/4/2007,3.58%,0.95%,10.83%,
8/1/2007,1.29%,5.82%,5.10%,
7/2/2007,-3.20%,5.14%,7.96%,
6/1/2007,-1.78%,-1.27%,0.70%,
5/1/2007,3.25%,4.71%,21.43%,
4/2/2007,4.33%,8.43%,7.41%,
3/1/2007,1.00%,1.41%,9.81%,
2/1/2007,-2.18%,-5.98%,-1.31%,
1/3/2007,1.41%,2.06%,1.05%,
12/1/2006,1.26%,5.69%,-7.44%,
11/1/2006,1.65%,-0.12%,13.05%,
10/2/2006,3.15%,12.68%,5.32%,
9/1/2006,2.46%,1.20%,13.46%,
8/1/2006,2.13%,5.02%,-0.15%,
7/3/2006,0.51%,0.77%,18.65%,
6/1/2006,0.01%,-3.86%,-4.18%,
5/1/2006,-3.09%,-2.61%,-15.09%,
4/3/2006,1.22%,-0.17%,12.23%,
3/1/2006,1.11%,2.78%,-8.42%,
2/1/2006,0.05%,-1.05%,-9.30%,
1/3/2006,2.55%,-1.10%,5.03%,
12/1/2005,-0.10%,-7.54%,6.00%,
11/1/2005,3.52%,8.83%,17.76%,
10/3/2005,-1.77%,2.08%,7.42%,
9/1/2005,0.69%,-0.50%,14.34%,
8/1/2005,-1.12%,-3.17%,9.93%,
7/1/2005,3.60%,12.47%,15.87%,
6/1/2005,-0.01%,-1.79%,-7.42%,
5/2/2005,3.00%,-0.81%,10.27%,
4/1/2005,-2.01%,-16.42%,-13.47%,
3/1/2005,-1.91%,-1.29%,-7.11%,
2/1/2005,1.89%,-0.71%,16.69%,
,,,,
